,stockLink,stockName,stockSymbol
0,https://www.livemint.com/market/market-stats/stocks-state-bank-of-india-share-price-nse-bse-s0003016,State Bank Of India,SBIN
1,https://www.livemint.com/market/market-stats/stocks-icici-prudential-life-insurance-company-share-price-nse-bse-s0003017,ICICI Prudential Life Insurance Company,ICICIPRULI
2,https://www.livemint.com/market/market-stats/stocks-reliance-industries-share-price-nse-bse-s0003018,Reliance Industries,RELIANCE
3,https://www.livemint.com/market/market-stats/stocks-icici-bank-share-price-nse-bse-s0003019,ICICI Bank,ICICIBANK
4,https://www.livemint.com/market/market-stats/stocks-hdfc-bank-share-price-nse-bse-s0003020,HDFC Bank,HDFCBANK
5,https://www.livemint.com/market/market-stats/stocks-yes-bank-share-price-nse-bse-s0003021,Yes Bank,YESBANK
6,https://www.livemint.com/market/market-stats/stocks-tata-motors-share-price-nse-bse-s0003022,Tata Motors,TATAMOTORS
7,https://www.livemint.com/market/market-stats/stocks-indusind-bank-share-price-nse-bse-s0003023,Indusind Bank,INDUSINDBK
8,https://www.livemint.com/market/market-stats/stocks-indian-railway-catering-tourism-corporation-share-price-nse-bse-s0003024,Indian Railway Catering &amp; Tourism Corporation,IRCTC
9,https://www.livemint.com/market/market-stats/stocks-larsen-toubro-share-price-nse-bse-s0003025,Larsen &amp; Toubro,LT
10,https://www.livemint.com/market/market-stats/stocks-tata-steel-share-price-nse-bse-s0003026,Tata Steel,TATASTEEL
11,https://www.livemint.com/market/market-stats/stocks-pvr-inox-share-price-nse-bse-s0003027,PVR Inox,PVRINOX
12,https://www.livemint.com/market/market-stats/stocks-itc-share-price-nse-bse-s0003028,ITC,ITC
13,https://www.livemint.com/market/market-stats/stocks-upl-share-price-nse-bse-s0003029,UPL,UPL
14,https://www.livemint.com/market/market-stats/stocks-oil-natural-gas-corporation-share-price-nse-bse-s0003030,Oil &amp; Natural Gas Corporation,ONGC
15,https://www.livemint.com/market/market-stats/stocks-indus-towers-share-price-nse-bse-s0003031,Indus Towers,INDUSTOWER
16,https://www.livemint.com/market/market-stats/stocks-infosys-share-price-nse-bse-s0003032,Infosys,INFY
