,companyName,disclosure_date,piotroski_score,purpose
0,State Bank Of India,2024-05-09,6,Annually
1,State Bank Of India,2023-05-18,5,Annually
2,State Bank Of India,2022-05-13,8,Annually
3,State Bank Of India,2021-05-21,5,Annually
4,State Bank Of India,2024-05-09,5,Quarterly-03
5,State Bank Of India,2023-11-04,6,Quarterly-9
6,State Bank Of India,2023-05-18,5,Quarterly-03
7,Reliance Industries,2024-04-22,6,Annually
8,Reliance Industries,2023-04-21,7,Annually
9,Reliance Industries,2022-05-06,5,Annually
10,Reliance Industries,2021-04-30,7,Annually
11,Reliance Industries,2024-04-22,7,Quarterly-03
12,Reliance Industries,2023-10-27,5,Quarterly-9
13,Reliance Industries,2023-04-21,7,Quarterly-03
14,ICICI Bank,2024-04-27,6,Annually
15,ICICI Bank,2023-04-22,5,Annually
16,ICICI Bank,2022-04-23,7,Annually
17,ICICI Bank,2021-04-24,7,Annually
18,ICICI Bank,2024-04-27,5,Quarterly-03
19,ICICI Bank,2023-10-21,4,Quarterly-9
20,ICICI Bank,2023-04-22,4,Quarterly-03
21,HDFC Bank,2024-04-20,3,Annually
22,HDFC Bank,2023-04-15,5,Annually
23,HDFC Bank,2022-04-16,3,Annually
24,HDFC Bank,2021-10-16,7,Annually
25,HDFC Bank,2021-04-17,7,Annually
26,HDFC Bank,2024-04-20,6,Quarterly-03
27,HDFC Bank,2023-10-15,2,Quarterly-9
28,HDFC Bank,2023-04-15,7,Quarterly-03
29,Yes Bank,2024-04-27,6,Annually
30,Yes Bank,2023-04-22,5,Annually
31,Yes Bank,2022-04-30,5,Annually
32,Yes Bank,2021-04-30,6,Annually
33,Yes Bank,2024-04-27,5,Quarterly-03
34,Yes Bank,2023-10-21,6,Quarterly-9
35,Yes Bank,2023-04-22,5,Quarterly-03
36,Tata Motors,2024-05-10,7,Annually
37,Tata Motors,2023-05-12,7,Annually
38,Tata Motors,2022-05-12,5,Annually
39,Tata Motors,2021-05-18,3,Annually
40,Tata Motors,2024-05-10,7,Quarterly-03
41,Tata Motors,2023-11-02,5,Quarterly-9
42,Tata Motors,2023-05-12,7,Quarterly-03
43,Indusind Bank,2024-04-25,5,Annually
44,Indusind Bank,2023-04-24,6,Annually
45,Indusind Bank,2022-04-29,6,Annually
